epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.22595,3.84375,8.75442,1.7967,0,0,0,0,3.32402,5.98015,1.36773,0.0003,0.0003,0.0003
2,8.00182,3.06118,5.86612,1.20772,0,0,0,0,2.89303,5.24594,1.24582,0.000603961,0.000603961,0.000603961
3,10.6858,2.84521,4.89749,1.13974,0.5224,0.03024,0.04356,0.01953,3.06886,4.42036,1.23981,0.000901784,0.000901784,0.000901784
4,13.3326,2.65158,4.06992,1.10133,0.44195,0.15674,0.13555,0.05971,2.72481,3.49993,1.16474,0.0009703,0.0009703,0.0009703
5,15.9983,2.53698,3.55958,1.07343,0.23578,0.29226,0.21039,0.08896,2.70501,3.27528,1.15084,0.0009604,0.0009604,0.0009604
6,18.6816,2.48189,3.31167,1.08147,0.33745,0.32015,0.25198,0.09744,2.59059,3.30159,1.10382,0.0009505,0.0009505,0.0009505
7,21.4299,2.38712,2.94175,1.03504,0.38411,0.35675,0.33561,0.1451,2.44987,2.62257,1.06684,0.0009406,0.0009406,0.0009406
8,24.0967,2.3379,2.76915,1.02492,0.52132,0.34738,0.3794,0.16284,2.37618,2.52944,1.05166,0.0009307,0.0009307,0.0009307
9,26.7154,2.29988,2.61887,1.01889,0.557,0.41801,0.4634,0.20276,2.3106,2.31836,1.04519,0.0009208,0.0009208,0.0009208
10,29.3304,2.32808,2.47316,1.03302,0.54295,0.44993,0.44431,0.17005,2.36819,2.28213,1.06308,0.0009109,0.0009109,0.0009109
11,110.875,2.28239,2.42512,1.00456,0.70965,0.42083,0.48892,0.1997,2.3001,2.17174,1.0409,0.000901,0.000901,0.000901
12,34.5794,2.22159,2.25623,0.9994,0.58347,0.54238,0.56822,0.24483,2.25899,2.0575,1.03924,0.0008911,0.0008911,0.0008911
13,116.096,2.24143,2.14955,1.00254,0.6207,0.45932,0.47689,0.20802,2.24986,2.01141,1.03799,0.0008812,0.0008812,0.0008812
14,39.7846,2.15039,2.03936,0.98945,0.66849,0.55154,0.58652,0.25501,2.24495,2.13267,1.04334,0.0008713,0.0008713,0.0008713
15,42.4221,2.12625,1.98058,1.0022,0.65545,0.56132,0.60655,0.26662,2.2173,2.10083,1.03056,0.0008614,0.0008614,0.0008614
16,45.0658,2.12297,1.88697,0.99067,0.64154,0.59201,0.63629,0.27428,2.19981,1.93742,1.01438,0.0008515,0.0008515,0.0008515
17,47.6927,2.07383,1.8162,0.97778,0.72894,0.60816,0.68124,0.31159,2.14366,1.81878,1.01027,0.0008416,0.0008416,0.0008416
18,50.3142,2.07883,1.76123,0.96836,0.72169,0.62407,0.65161,0.2784,2.17308,1.7524,1.01912,0.0008317,0.0008317,0.0008317
19,52.8549,2.08125,1.71801,0.9696,0.80795,0.60382,0.68299,0.28664,2.20572,1.80703,1.02708,0.0008218,0.0008218,0.0008218
20,55.4647,2.07162,1.68095,0.9791,0.78166,0.61486,0.67576,0.29727,2.20918,1.88663,1.02962,0.0008119,0.0008119,0.0008119
21,58.0651,1.97455,1.5803,0.96179,0.81419,0.61825,0.69449,0.30893,2.15587,1.7354,1.01071,0.000802,0.000802,0.000802
22,60.6616,2.05982,1.64121,0.96902,0.77515,0.65488,0.72633,0.31948,2.11305,1.6077,0.99731,0.0007921,0.0007921,0.0007921
23,63.2438,2.02398,1.56337,0.95923,0.79868,0.63065,0.72664,0.32242,2.07577,1.62022,0.99912,0.0007822,0.0007822,0.0007822
24,65.9019,2.03298,1.54065,0.96645,0.85028,0.68216,0.73777,0.32696,2.12631,1.71389,1.00801,0.0007723,0.0007723,0.0007723
25,147.461,2.01448,1.53353,0.97423,0.76497,0.67642,0.74219,0.32388,2.14571,1.69457,1.01532,0.0007624,0.0007624,0.0007624
26,150.07,1.99719,1.50792,0.96589,0.85799,0.65663,0.73651,0.33219,2.06797,1.62153,0.99357,0.0007525,0.0007525,0.0007525
27,152.706,1.95945,1.43563,0.95769,0.84443,0.63778,0.72934,0.32703,2.06118,1.64357,0.99452,0.0007426,0.0007426,0.0007426
28,155.327,2.0061,1.45168,0.95761,0.77296,0.71634,0.77064,0.35599,1.99167,1.48953,0.97794,0.0007327,0.0007327,0.0007327
29,157.868,1.95406,1.42591,0.95694,0.81738,0.69523,0.75144,0.34054,2.02562,1.66366,0.98177,0.0007228,0.0007228,0.0007228
